,,data,Edward_II_Marlowe.tok,Hamlet_Shakespeare.tok,Henry_VI_Part1_Shakespeare.tok,Henry_VI_Part2_Shakespeare.tok,Jew_of_Malta_Marlowe.tok,Richard_II_Shakespeare.tok
s,22,back,0.0007756071549760047,0.0002657983919197289,0.00047409093064049683,0.0003999680025597952,0.00033973161202649905,0.0005831426905306598
s,23,be,0.010519172039362062,0.007508804571732341,0.010998909590859527,0.010199184065274779,0.010418436102145972,0.007580854976898578
s,24,because,0.0004362790246740026,3.3224798989966113e-05,0.00047409093064049683,0.00047996160307175426,0.00033973161202649905,0.00026914278024491994
s,25,become,9.695089437200058e-05,,0.00014222727919214906,0.00011999040076793856,0.00045297548270199875,0.00026914278024491994
s,26,becomes,4.847544718600029e-05,9.967439696989833e-05,0.00014222727919214906,3.999680025597952e-05,5.6621935337749844e-05,
s,27,been,0.0005332299190460032,0.0009302943717190511,0.0010904091404731427,0.00083993280537557,0.0009625729007417473,0.0007625712106939398
s,28,before,0.00038780357748800234,0.0006644959797993222,0.0008533636751528943,0.0010399168066554676,0.00022648774135099938,0.0008074283407347598
s,29,behind,4.847544718600029e-05,0.0002657983919197289,0.00014222727919214906,7.999360051195904e-05,5.6621935337749844e-05,0.00013457139012245997
s,30,being,0.0007756071549760047,0.0003986975878795933,0.0003792727445123975,0.0009599232061435085,0.0005095974180397486,0.0006728569506122998
s,31,best,0.00014542634155800086,0.0003654727888896272,0.0003318636514483478,0.0003999680025597952,0.00033973161202649905,0.00017942852016327997
s,32,better,0.00024237723593000145,0.0004983719848494916,0.00047409093064049683,0.00043996480281577473,0.0005662193533774985,0.00035885704032655993
s,33,between,4.847544718600029e-05,0.0004983719848494916,0.00042668183757644715,0.0001999840012798976,,4.485713004081999e-05
s,34,both,0.0006786562606040041,0.0008638447737391189,0.000758545489024795,0.00043996480281577473,0.0012456825774304966,0.0010765711209796797
s,35,but,0.008774055940666053,0.008771346933351054,0.007111363959607452,0.0069594432445404366,0.010588301908159221,0.006728569506122998
s,36,by,0.003150904067090019,0.0039537510798059675,0.004361636561892571,0.004679625629949604,0.004246645150331238,0.004081998833714619
s,37,came,0.00033932813030200206,0.000299023190909695,0.00023704546532024842,0.00023998080153587713,0.00045297548270199875,0.00026914278024491994
s,38,can,0.0015512143099520093,0.00119609276363878,0.000900772768216944,0.002199824014078874,0.0015854141894569957,0.0011662853810613196
s,39,cannot,0.0007756071549760047,0.0009302943717190511,0.0005215000237045465,0.0006399488040956723,0.0009059509654039975,0.0008074283407347598
s,40,case,0.00014542634155800086,3.3224798989966113e-05,0.00023704546532024842,0.00011999040076793856,,4.485713004081999e-05
s,41,clear,4.847544718600029e-05,3.3224798989966113e-05,0.00018963637225619874,0.00015998720102391808,,
s,42,come,0.0031993795142760194,0.0034886038939464415,0.0020385910017541365,0.0027197824174066076,0.004699620633033237,0.0025119992822859195
s,43,could,0.0002908526831160017,0.0010631935676789156,0.0007111363959607452,0.0007199424046076314,0.0006794632240529981,0.00026914278024491994
s,44,did,0.0006301808134180038,0.002159611934347797,0.0014222727919214904,0.0015598752099832012,0.0015287922541192458,0.0016597138115103396
s,45,do,0.003829560327694023,0.005315967838394577,0.002891954676907031,0.003159747220222382,0.002887718702225242,0.003812856053469699
s,46,done,0.0012118861796500072,0.0006977207787892884,0.0006163182098326459,0.00083993280537557,0.0014721703187814959,0.0005382855604898399
s,47,down,0.0009210334965340056,0.0008306199747491528,0.0003318636514483478,0.00083993280537557,0.0005662193533774985,0.0011662853810613196
s,48,each,9.695089437200058e-05,0.0003654727888896272,0.00023704546532024842,0.00015998720102391808,0.00016986580601324953,0.00026914278024491994
s,49,either,0.0002908526831160017,0.00019934879393979665,0.00047409093064049683,3.999680025597952e-05,0.00011324387067549969,8.971426008163998e-05
s,50,end,0.0002908526831160017,0.00046514718585952553,0.00018963637225619874,0.00027997760179185663,0.00016986580601324953,0.00035885704032655993
s,51,ends,9.695089437200058e-05,6.644959797993223e-05,9.481818612809937e-05,3.999680025597952e-05,5.6621935337749844e-05,0.00013457139012245997
s,52,enough,0.0006301808134180038,0.00023257359292976277,0.00023704546532024842,0.00043996480281577473,0.0005662193533774985,0.00022428565020409994
s,53,even,0.00038780357748800234,0.0007973951757591866,0.0003318636514483478,0.0007999360051195904,0.0005095974180397486,0.0007177140806531199
s,54,ever,0.0002908526831160017,0.00043192238686955945,0.00042668183757644715,0.00043996480281577473,0.00039635354736424893,0.0004934284304490198
s,55,every,0.00024237723593000145,0.0003322479898996611,0.0005215000237045465,0.0003599712023038157,0.0005095974180397486,0.0004037141703673799
s,56,everywhere,4.847544718600029e-05,,,,,
s,57,face,0.00033932813030200206,0.0003654727888896272,0.0002844545583842981,0.0005599552035837133,0.00011324387067549969,0.0011214282510204998
s,58,far,0.0005817053662320035,0.0003654727888896272,0.00023704546532024842,0.00031997440204783615,0.0007360851593907479,0.0007625712106939398
s,59,felt,4.847544718600029e-05,,,,,4.485713004081999e-05
s,60,find,0.00024237723593000145,0.00059804638181939,0.0005689091167685962,0.0003599712023038157,0.00011324387067549969,0.00031399991028573993
s,61,finds,4.847544718600029e-05,6.644959797993223e-05,,7.999360051195904e-05,,8.971426008163998e-05
s,62,first,0.0004847544718600029,0.0005648215828294239,0.0012326364196652917,0.00083993280537557,0.0014155483834437461,0.0007177140806531199
s,63,for,0.010422221144990062,0.008306199747491527,0.008675864030721092,0.010479161667066635,0.012060472226940717,0.008747140357959898
s,64,four,4.847544718600029e-05,9.967439696989833e-05,9.481818612809937e-05,3.999680025597952e-05,5.6621935337749844e-05,0.00017942852016327997
s,65,from,0.003441756750206021,0.0031563559040467806,0.0038401365381880246,0.0037996960243180545,0.0028310967668874923,0.004216570223837079
s,66,full,0.00033932813030200206,0.0003654727888896272,0.0002844545583842981,0.0006399488040956723,0.00016986580601324953,0.0006728569506122998
s,67,further,9.695089437200058e-05,0.0003986975878795933,9.481818612809937e-05,0.0001999840012798976,0.00022648774135099938,0.00031399991028573993
s,68,gave,0.00014542634155800086,0.000299023190909695,0.00018963637225619874,0.00015998720102391808,0.00022648774135099938,0.00022428565020409994
s,69,general,0.00014542634155800086,0.00023257359292976277,0.00023704546532024842,0.00011999040076793856,0.00011324387067549969,
s,70,get,0.00024237723593000145,0.000299023190909695,0.0003318636514483478,0.0003999680025597952,0.00033973161202649905,0.00017942852016327997
s,71,gets,0.00014542634155800086,3.3224798989966113e-05,,,5.6621935337749844e-05,
s,72,give,0.0009695089437200058,0.0019270383414180345,0.0014696818849855402,0.0013198944084473242,0.0019817677368212444,0.0013008567711837796
s,73,given,0.00014542634155800086,0.0003322479898996611,0.00018963637225619874,0.00043996480281577473,0.00011324387067549969,0.00017942852016327997
s,74,gives,4.847544718600029e-05,0.00023257359292976277,4.7409093064049684e-05,0.00015998720102391808,0.00011324387067549969,0.00013457139012245997
s,75,go,0.0017451160986960105,0.0023257359292976278,0.001043000047409093,0.0022798176145908326,0.00362380386161599,0.0017045709415511596
s,76,going,9.695089437200058e-05,6.644959797993223e-05,,,0.00011324387067549969,
s,77,good,0.0015512143099520093,0.0036215030899063062,0.001374863698857441,0.0023998080153587713,0.0015854141894569957,0.0023774278921634595
s,78,goods,0.00019390178874400117,,,7.999360051195904e-05,0.0009625729007417473,8.971426008163998e-05
s,79,got,0.00019390178874400117,6.644959797993223e-05,9.481818612809937e-05,0.00023998080153587713,0.00033973161202649905,
s,80,great,0.0004847544718600029,0.0008638447737391189,0.0012800455127293415,0.0011999040076793857,0.0014155483834437461,0.0009419997308572198
s,81,greater,0.00024237723593000145,,,0.00011999040076793856,0.00022648774135099938,0.00013457139012245997
s,82,had,0.0010179843909060061,0.001495115954548475,0.0015645000711136396,0.0015998720102391808,0.0019817677368212444,0.0017494280715919794
s,83,has,9.695089437200058e-05,0.0005315967838394578,,0.00011999040076793856,0.0015854141894569957,
s,84,have,0.0062533326869940375,0.0059804638181939,0.005878727539942161,0.00671946244300456,0.008493290300662476,0.006055712555510699
s,85,having,0.0002908526831160017,6.644959797993223e-05,0.00018963637225619874,0.00015998720102391808,0.00022648774135099938,4.485713004081999e-05
s,86,he,0.008580154151922051,0.0074423549737524086,0.005357227516237614,0.007079433645308376,0.008153558688635978,0.006235141075673978
s,87,her,0.0014542634155800087,0.0028905575121270515,0.003603091072867776,0.0023998080153587713,0.0026612309608742427,0.0010765711209796797
s,88,here,0.0032478549614620195,0.0020599375373778987,0.003176409235291329,0.0025197984161267097,0.003963535473642489,0.0030054277127349394
s,89,high,0.00033932813030200206,0.00013289919595986445,0.0002844545583842981,0.00031997440204783615,5.6621935337749844e-05,0.0008074283407347598
s,90,higher,0.00014542634155800086,3.3224798989966113e-05,4.7409093064049684e-05,3.999680025597952e-05,,
s,91,highest,4.847544718600029e-05,3.3224798989966113e-05,,,,
s,92,him,0.009598138542828058,0.006246262210113629,0.003745318352059925,0.005919526437884969,0.005718815469112734,0.005068855694612659
s,93,himself,0.0004362790246740026,0.0006977207787892884,0.00018963637225619874,0.0006799456043516519,0.00039635354736424893,0.0007177140806531199
s,94,his,0.010131368461874062,0.009668416506080139,0.00914995496136159,0.009759219262459004,0.005718815469112734,0.010317139909388597
s,95,how,0.0027146250424160165,0.00299023190909695,0.002228227374010335,0.002319814414846812,0.0030575845082384916,0.0021082851119185396
s,96,i,0.023849920015512144,0.01983520499700977,0.0227089555776798,0.022918166546676267,0.027574882509484176,0.021800565199838515
s,97,if,0.003441756750206021,0.0037544022858661706,0.004219409282700422,0.0036397088232941366,0.002547987090198743,0.0026914278024491992
s,98,in,0.011197828299966068,0.013921190776795801,0.013274546057933911,0.013198944084473242,0.012060472226940717,0.013008567711837797
s,99,into,0.0004847544718600029,0.000897069572729085,0.0007111363959607452,0.0006799456043516519,0.0006794632240529981,0.0005382855604898399
s,100,is,0.009307285859712055,0.01119675725961858,0.009529227705873987,0.009719222462203024,0.008436668365324727,0.011348853900327457
s,101,it,0.007077415289156042,0.013821516379825902,0.005262409330109515,0.006879449644028477,0.009399241266066474,0.0072668550666128385
s,102,keep,0.0005332299190460032,0.00059804638181939,0.0007111363959607452,0.0005199584033277338,0.0006228412887152483,0.0005831426905306598
s,103,keeps,4.847544718600029e-05,0.00016612399494983054,0.00014222727919214906,7.999360051195904e-05,,0.00013457139012245997
s,104,kind,0.00024237723593000145,0.0003986975878795933,0.0003318636514483478,7.999360051195904e-05,0.00011324387067549969,0.00035885704032655993
s,105,knew,9.695089437200058e-05,0.00019934879393979665,,3.999680025597952e-05,0.00033973161202649905,
s,106,know,0.0019390178874400116,0.0025250847232374243,0.0009481818612809937,0.0010799136069114472,0.003227450314251741,0.0013905710312654197
s,107,known,4.847544718600029e-05,0.0002657983919197289,0.00014222727919214906,0.00023998080153587713,0.00028310967668874923,0.00013457139012245997
s,108,knows,0.00014542634155800086,9.967439696989833e-05,0.00018963637225619874,0.00027997760179185663,0.00039635354736424893,0.00017942852016327997
s,109,last,0.00024237723593000145,0.0004983719848494916,0.0002844545583842981,0.0003999680025597952,0.00011324387067549969,0.0008522854707755798
s,110,latest,4.847544718600029e-05,,4.7409093064049684e-05,,5.6621935337749844e-05,4.485713004081999e-05
s,111,least,0.00014542634155800086,6.644959797993223e-05,0.00014222727919214906,7.999360051195904e-05,0.00028310967668874923,4.485713004081999e-05
s,112,less,4.847544718600029e-05,0.0002657983919197289,0.00023704546532024842,7.999360051195904e-05,5.6621935337749844e-05,0.00026914278024491994
s,113,let,0.003829560327694023,0.0034886038939464415,0.0026549092115867824,0.0032397408207343412,0.004699620633033237,0.0027811420625308393
s,114,like,0.0011149352852780068,0.0026579839191972886,0.0023230455601384345,0.002079833613310935,0.0020383896721589945,0.0020185708518368995
s,115,long,0.0011149352852780068,0.0005648215828294239,0.0008059545820888447,0.0008799296056315495,0.0007927070947284979,0.0007177140806531199
s,116,longer,9.695089437200058e-05,0.00016612399494983054,0.00018963637225619874,0.00011999040076793856,0.00016986580601324953,4.485713004081999e-05
s,117,made,0.0007756071549760047,0.0009967439696989832,0.0006163182098326459,0.001159907207423406,0.0012456825774304966,0.0009868568608980396
s,118,make,0.0019390178874400116,0.001827363944448136,0.0014696818849855402,0.0021198304135669147,0.0019817677368212444,0.0023325707621226393
s,119,making,4.847544718600029e-05,9.967439696989833e-05,,,0.00011324387067549969,8.971426008163998e-05
s,120,man,0.001163410732464007,0.0018605887434381021,0.0013274546057933912,0.0021598272138228943,0.0015287922541192458,0.0014802852913470596
s,121,many,0.00038780357748800234,0.00059804638181939,0.00047409093064049683,0.0003999680025597952,0.0006228412887152483,0.0007625712106939398
s,122,may,0.002326821464928014,0.0023257359292976278,0.002275636467074385,0.0015998720102391808,0.0020383896721589945,0.0021531422419593595
s,123,me,0.010858500169664066,0.0077413781646621035,0.006921727587351254,0.00827933765298776,0.013306154804371213,0.007760283497061858
s,124,men,0.001308837074022008,0.00046514718585952553,0.001043000047409093,0.0011199104071674265,0.0010191948360794973,0.0019288565917552594
s,125,might,0.0005817053662320035,0.0010631935676789156,0.0005215000237045465,0.00047996160307175426,0.0005662193533774985,0.00031399991028573993
s,126,more,0.0023752969121140144,0.0031895807030367465,0.0020385910017541365,0.0022798176145908326,0.002604609025536493,0.0023325707621226393
s,127,most,0.00033932813030200206,0.0027244335171772213,0.000758545489024795,0.0005599552035837133,0.0006794632240529981,0.0007625712106939398
